Community District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,11.1,11.4,10.6,9.6,9,9,8.4,7.5,7.7
Greenwich Village and Soho,102,10.9,11.2,10.6,9.5,9,8.9,9.9,8.5,8.5
Lower East Side and Chinatown,103,9.9,10.3,9.9,8.9,8.4,7.9,8.7,7.5,7.6
Clinton and Chelsea,104,11.4,11.6,10.9,9.8,9.4,9.1,9.3,8,8.1
Midtown,105,14.3,14.2,12.3,11.3,10.9,11.4,11.5,9.2,8.9
Stuyvesant Town and Turtle Bay,106,12.2,12.4,11.2,10.2,9.8,9.5,9.4,7.8,7.9
Upper West Side,107,10.3,10.4,9.8,8.5,8.3,8.2,7.4,6.3,6.8
Upper East Side,108,11.1,11.2,10.2,9.1,8.9,8.7,8,6.7,7
Morningside Heights and Hamilton Heights,109,9.8,9.8,9.4,8,8,7.5,6.9,6.3,6.8
Central Harlem,110,9.6,9.7,9.3,7.9,7.9,7.5,7,6.4,6.8
East Harlem,111,9.7,9.8,9.5,8.2,8.1,7.4,7.1,6.4,6.8
Washington Heights and Inwood,112,9.5,9.5,9.4,7.8,7.8,7.3,7.2,6.3,6.9
Mott Haven and Melrose,201,10,10.1,9.9,8.6,8.5,8,7.7,6.3,6.8
Hunts Point and Longwood,202,9.8,10,9.8,8.5,8.5,8.1,7.8,6.6,7.3
Morrisania and Crotona,203,9.4,9.5,9.3,7.8,7.9,7.4,6.9,6.2,6.7
Highbridge and Concourse,204,10,10,9.7,8.2,8.2,7.7,7.2,6.1,6.7
Fordham and University Heights,205,10,10.1,9.8,8.3,8.3,7.7,7.3,6.2,6.8
Belmont and East Tremont,206,9.5,9.6,9.4,8,7.9,7.4,7.2,6.3,6.8
Kingsbridge Heights and Bedford,207,9.4,9.5,9.3,7.8,7.7,7.4,6.8,6,6.6
Riverdale and Fieldston,208,8.9,9,9.2,7.5,7.4,7,6.7,5.9,6.5
Parkchester and Soundview,209,8.9,9.1,9,7.6,7.6,7.1,6.8,6.2,6.7
Throgs Neck and Co-op City,210,8.7,8.9,9,7.5,7.5,6.9,6.7,6.1,6.5
Morris Park and Bronxdale,211,8.7,8.9,8.9,7.4,7.4,7.1,6.6,6,6.6
Williamsbridge and Baychester,212,8.7,8.9,9.1,7.5,7.4,7,6.7,5.9,6.5
Greenpoint and Williamsburg,301,10.1,10.6,10.6,9.6,9.1,8.9,8.6,7.1,7.7
Fort Greene and Brooklyn Heights,302,9.5,10,9.8,8.8,8.3,7.8,7.2,6.7,7.1
Bedford Stuyvesant,303,8.8,9.3,9,8.1,7.6,7.4,6.6,6.3,6.8
Bushwick,304,8.8,9.2,9,8.1,7.7,7.5,7.1,6.5,6.9
East New York and Starrett City,305,8.6,9,8.7,7.7,7.5,7,6.5,6,6.5
Park Slope and Carroll Gardens,306,9.4,9.9,9.9,8.9,8.4,8,7.7,6.7,7.1
Sunset Park,307,9.2,9.7,9.6,8.5,8.2,7.8,7.4,6.5,7
Crown Heights and Prospect Heights,308,8.8,9.2,8.9,8,7.5,7.3,6.7,6.3,6.7
South Crown Heights and Lefferts Gardens,309,8.6,9,8.7,7.8,7.4,7.1,6.3,6.1,6.5
Bay Ridge and Dyker Heights,310,8.4,8.8,8.4,7.4,7.3,6.8,6.4,6.1,6.5
Bensonhurst,311,8.2,8.6,8,7,7,6.7,6.2,5.8,6.4
Borough Park,312,8.5,8.9,8.5,7.5,7.3,7.1,6.4,6,6.5
Coney Island,313,8,8.3,7.6,6.6,6.8,6.5,6,5.7,6.3
Flatbush and Midwood,314,8.6,8.9,8.4,7.4,7.2,7,6.2,5.9,6.4
Sheepshead Bay,315,8.1,8.4,7.8,6.8,6.8,6.5,6.1,5.7,6.3
Brownsville,316,8.8,9.2,8.9,8,7.6,7.4,6.6,6.1,6.5
East Flatbush,317,8.7,9.1,8.7,7.8,7.5,7.1,6.4,6,6.5
Flatlands and Canarsie,318,8.2,8.5,8.1,7.1,7,6.7,6.1,5.7,6.2
Long Island City and Astoria,401,8.9,9.2,9,7.8,7.7,7.4,7.2,6.5,6.8
Woodside and Sunnyside,402,10,10.5,10.3,9.3,8.9,8.6,8.4,7,7.6
Jackson Heights,403,8.4,8.7,8.3,7.3,7.2,6.9,6.6,6.4,6.6
Elmhurst and Corona,404,8.9,9.2,8.7,7.7,7.5,7.2,6.8,6.5,6.7
Ridgewood and Maspeth,405,8.8,9.2,8.9,8,7.7,7.3,7,6.2,7
Rego Park and Forest Hills,406,8.7,8.9,8.5,7.5,7.3,7,6.5,6.1,6.4
Flushing and Whitestone,407,8.4,8.7,8.5,7.3,7.3,6.9,6.6,6.3,6.5
Hillcrest and Fresh Meadows,408,8.2,8.4,8.2,7,7,6.6,6.2,6,6.3
Kew Gardens and Woodhaven,409,8.4,8.6,8.3,7.3,7.2,6.8,6.4,6.1,6.5
South Ozone Park and Howard Beach,410,8,8.2,7.9,6.8,6.8,6.4,6,5.8,6.2
Bayside and Little Neck,411,8.1,8.3,8.2,6.9,7,6.5,6.2,6,6.3
Jamaica and Hollis,412,8.3,8.4,8.2,7,7.1,6.7,6.2,5.9,6.3
Queens Village,413,7.9,8,7.9,6.5,6.8,6.4,6,5.8,6.3
Rockaway and Broad Channel,414,7.6,7.7,7.2,6,6.3,6.1,5.6,5.3,5.9
St. George and Stapleton,501,8.1,8.6,8.2,7.1,7,6.6,6.1,5.8,6.3
South Beach and Willowbrook,502,8,8.5,7.8,6.9,6.9,6.5,5.9,5.6,6.2
Tottenville and Great Kills,503,7.8,8.2,7.3,6.6,6.6,6.2,5.8,5.3,6